FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000197921 0.0293102847119489 0.0612500566898386 0.261237915410562 0.0025676146297865 0.167997221560515 0.0914057704319397
ENSG00000157873 0 0.0346728925715845 0.0633459862731717 0.0251262247630899 0.0488587841780347 0
ENSG00000157870 0.0865579262097672 0.0389307412314988 0.0395296736227829 0.00319843660371089 0.00526395910309184 0
ENSG00000215912 0.0528334677502061 0 0.0818370601173034 0.0710167760803086 0 0.102911221884579
ENSG00000162591 0.0381878232943285 0.00664471672101049 0.170403845195683 0.101989469296335 0.298652104955932 0.123836638094529
ENSG00000158109 0 0.0135149916422878 0.0142042387194179 0.0325685581015369 0.0314382539082403 0
ENSG00000116213 0.0773481006826055 0.0264736607141521 0.0232970854436847 0.00345943804386653 0.0169950459913385 0
ENSG00000078900 0.228518305675511 0.155000671899582 0.0238774209029847 0.00417861038443659 0.236847462810901 0.165795639041391
ENSG00000235169 0 0 0 0 0 0
ENSG00000130764 0.0162476612414904 0.00869814370440848 0.0459547212679872 0 0.123293010200501 0.100877913829466
ENSG00000116198 0 0 0.0992207979133723 0 0.133016887317384 0.113404220202153
ENSG00000169598 0.0171677951974815 0.0256219967584934 0.105883276959273 0 0.0308937380871159 0.0214940853331954
ENSG00000198912 0.051091086457434 0.0147789037353253 0.0693335837975298 0.00239057613161355 0.00603122883544839 0.0103812725188029
ENSG00000131697 0 0 0.0556596452643927 0 0.0712747463064031 0.0447859087507928
ENSG00000069424 0.000782844771831939 0 0.00385814588174497 0 0 0
ENSG00000116254 0 0.00943985396019069 0 0.000282064929813971 0 0.010788716164673
ENSG00000116251 0 0 0.199495827460366 0.00333363773454807 0.238892911698884 0.180094137898426
ENSG00000158286 0.050201837428215 0 0 0.0448683857707963 0.0739458703862568 0
ENSG00000116237 0 0.0400473060026844 0.0631424366166862 0.0330476478788228 0.0579652327304479 0
ENSG00000158292 0.0443892006177433 0.0193812397438902 0 0 0.0141730336124 0
ENSG00000097021 0 0.043425953405279 0.000988434479366017 0.0255271889745417 0.00274478493267891 0.067494090747849
ENSG00000069812 0.179751151748289 0.0631923782236848 0.245862209175094 0.026042090834454 0.0352342398236257 0.0770583453938615
ENSG00000171680 0 0 0.138320159115583 0.000712824467896161 0.152647960303655 0.095886176191716
ENSG00000162408 0 0.00761772657643395 0 0 0 0
ENSG00000204859 0.00590561138588645 0 0.0495562425724114 0 0.00568874797844318 0.0197972625990893
ENSG00000162413 0.0493348097724602 0.00814709106624296 0.0424130756474894 0.0205312157054601 0 0.0135358439846278
ENSG00000116273 0.000290773678030843 0 0.148036346797886 0 0.205552253180052 0.191981115873266
ENSG00000041988 0.0164780504797606 0 0 0.00712349587407133 0.0235117533633638 0
ENSG00000007923 0 0.00937549259704226 0.067849945433298 0 0.0406413260169384 0.0332855813367418
ENSG00000171735 0.0324254877490024 0.0171672085920059 0 0.0100894556514604 0.0128838386353861 0.0100558992664223
ENSG00000049245 0.0760328559376706 0.0166973002757363 0.016151037625457 0.0166535942453397 0.145131200914244 0.0556698716554421
ENSG00000049246 0 0.00260419701819598 0.0503943993333674 0.0175547137878351 0.0846090636094763 0.0256113665900574
ENSG00000049247 0 0.0306616788277044 0.177675515929657 0.0227012444648478 0.167173982933257 0.0652925447090594
ENSG00000049249 0.00864358664724402 0.0167631795038047 0.0151157796639798 0.0617308465929952 0.0618516665627604 0
ENSG00000116288 0 0 0 0.0053135217361525 0 0.00349402824229592
ENSG00000116285 0.0255316740251138 0.0197633354152883 0.0548670527881966 0.0987212374413517 0.165213940321184 0.0497895632266134
ENSG00000142599 0.0509806526540354 0 0.264757164994412 0.0514437415597378 0.145328265011239 0.27316856085382
ENSG00000074800 0 0.00249140962422582 0.0148786671656852 0 0.0249908784124375 0.0384806103151778
ENSG00000142583 0 0 0.00500605912053616 0.0133997851236806 0.0343268062678338 0
ENSG00000180758 0.00632169775762342 0 0.0799707280860504 0.00904481828365184 0.0235263864657647 0.0750356249983229
ENSG00000049239 0.000338973054928894 0 0.0884438109241554 0.0140615525940069 0.0601287604968828 0.138341764671487
ENSG00000171621 0.0344667258864041 0.0115597359085484 0.0422731390649787 0 0 0.00512653012986351
ENSG00000171612 0.00476723236541641 0.00315698776184 0.0187478551636823 0.0325726645397412 0 0.0429244169265914
ENSG00000188807 0 0.00555821072853158 0.0284832183730451 0.0183620306534482 0.0477718259747663 0
ENSG00000171608 0 0.000636391935347057 0.00524110417495346 0.0153617304724468 5.81599950695474e-05 0.0269162868385364
ENSG00000179840 0 0.0101891055251905 0.0993315893822608 0.0339372924470897 0.145385221555295 0.0345810392232249
ENSG00000171603 0 0 0.311849014569072 0 0.327137212519117 0.287331742930141
ENSG00000178585 0 0.0274640630429287 0.145380238395274 0.056048028186862 0.186132669429388 0.0510535429090325
ENSG00000162441 0.0164424811685239 0.00979900939292708 0.530492974109078 0 0.533911114556054 0.551364530421049
ENSG00000173614 0 0.00495467598138928 0.0213932685577613 0 0 0
ENSG00000130939 0.0120133498751371 0 0.0190730589540561 0.0191109216739459 0.0704111334834456 0.00476534412718952
ENSG00000054523 0.0439744179568146 0.0789141384264575 0.273774134672892 0.00879288462753239 0.193176653098719 0.109718337355301
ENSG00000142657 0.0503128850367383 0 0.0135355533378353 0.0396862919020678 0.131383340281833 0.027370898926357
ENSG00000175279 0.0137865035799307 0.0181418392864535 0.00311215744426077 0 0.0400186542124233 0.0508963646618429
ENSG00000160049 0.00960961698450738 0 0 0.0100009903212117 0.0256958716136956 0
ENSG00000142655 0 0.00481137588193071 0.0101957526626799 0.0158523491208647 0.0207527964859956 0
ENSG00000130940 0.00434477271174548 0 0 0 0.000200996582272329 0
